764654:
 num     #instances         #bytes  class name (module)
 193:            16            384  java.util.regex.Pattern$BmpCharProperty (java.base@21-ea)
 194:            12            384  sun.security.jca.ProviderConfig (java.base@21-ea)
 195:            21            360  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@21-ea)
 196:             3            360  java.io.ObjectStreamClass (java.base@21-ea)
 197:            21            352  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@21-ea)
 198:            11            352  javax.management.MBeanNotificationInfo (java.management@21-ea)
 199:            18            336  [Ljavax.management.MBeanConstructorInfo; (java.management@21-ea)
 200:             5            336  [Lsun.invoke.util.Wrapper; (java.base@21-ea)
 201:             6            336  java.nio.DirectLongBufferU (java.base@21-ea)
 202:             7            336  java.util.Hashtable (java.base@21-ea)
 203:            18            328  [Lsun.reflect.generics.tree.TypeSignature; (java.base@21-ea)
 204:             8            320  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@21-ea)
 205:             7            320  [Ljava.util.Hashtable$Entry; (java.base@21-ea)
 206:             8            320  java.io.FileDescriptor (java.base@21-ea)
 207:             8            320  java.security.CodeSource (java.base@21-ea)
 208:            10            320  java.util.regex.Pattern$Curly (java.base@21-ea)
 209:            10            320  jdk.internal.logger.LazyLoggers$LazyLoggerAccessor (java.base@21-ea)
 210:             8            320  sun.management.MemoryPoolImpl$CollectionSensor (java.management@21-ea)
 211:             8            320  sun.management.MemoryPoolImpl$PoolSensor (java.management@21-ea)
 212:            10            320  sun.util.locale.BaseLocale$Key (java.base@21-ea)
 213:            13            312  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@21-ea)
 214:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@21-ea)
 215:             9            288  java.lang.ClassValue$Entry (java.base@21-ea)
 216:             6            288  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@21-ea)
 217:            12            288  java.time.Month (java.base@21-ea)
 218:             9            288  java.util.Hashtable$Entry (java.base@21-ea)
 219:            12            288  java.util.concurrent.atomic.AtomicLong (java.base@21-ea)
 220:             9            288  java.util.logging.Level (java.logging@21-ea)
 221:             9            288  java.util.logging.Level$KnownLevel (java.logging@21-ea)
 222:             6            288  java.util.stream.StreamOpFlag (java.base@21-ea)
