762911:
 num     #instances         #bytes  class name (module)
 306:             3            168  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21-ea)
 307:             7            168  java.time.DayOfWeek (java.base@21-ea)
 308:             7            168  java.time.ZoneOffset (java.base@21-ea)
 309:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport (java.management@21-ea)
 310:             7            168  jdk.net.ExtendedSocketOptions$ExtSocketOption (jdk.net@21-ea)
 311:             7            168  sun.management.counter.Units (java.management@21-ea)
 312:             3            168  sun.nio.cs.StreamEncoder (java.base@21-ea)
 313:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21-ea)
 314:             3            160  [Ljava.util.logging.Level; (java.logging@21-ea)
 315:             5            160  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21-ea)
 316:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@21-ea)
 317:             4            160  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@21-ea)
 318:            10            160  jdk.internal.logger.LazyLoggers$JdkLazyLogger (java.base@21-ea)
 319:            10            160  jdk.internal.misc.InternalLock (java.base@21-ea)
 320:             2            160  sun.nio.ch.NioSocketImpl (java.base@21-ea)
 321:             5            160  sun.reflect.annotation.AnnotationType (java.base@21-ea)
 322:             4            160  sun.util.locale.provider.LocaleResources (java.base@21-ea)
 323:             5            160  sun.util.resources.Bundles$CacheKey (java.base@21-ea)
 324:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@21-ea)
 325:             3            144  com.sun.management.internal.GarbageCollectorExtImpl (jdk.management@21-ea)
 326:             9            144  com.sun.proxy.jdk.proxy1.$Proxy2 (jdk.proxy1)
 327:             6            144  java.lang.Thread$State (java.base@21-ea)
 328:             3            144  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@21-ea)
 329:             6            144  java.net.Inet4Address (java.base@21-ea)
 330:             6            144  java.security.Permissions (java.base@21-ea)
 331:             3            144  java.time.temporal.JulianFields$Field (java.base@21-ea)
 332:             6            144  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@21-ea)
 333:             9            144  java.util.regex.Pattern$Begin (java.base@21-ea)
 334:             6            144  jdk.internal.perf.PerfCounter (java.base@21-ea)
 335:             6            144  jdk.jfr.internal.SecuritySupport$SafePath (jdk.jfr@21-ea)
 336:             6            144  picocli.CommandLine$Model$FieldBinding
 337:             6            144  picocli.CommandLine$Model$RuntimeTypeInfo
 338:             3            144  sun.nio.cs.UTF_8$Encoder (java.base@21-ea)
 339:             9            144  sun.util.logging.internal.LoggingProviderImpl$JULWrapper (java.logging@21-ea)
 340:             1            136  [Ljava.time.temporal.ChronoField; (java.base@21-ea)
 341:             4            128  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@21-ea)
 342:             2            128  [Ljava.time.Month; (java.base@21-ea)
 343:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping (java.management@21-ea)
 344:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping (java.management@21-ea)
 345:             4            128  java.lang.invoke.MethodHandles$Lookup (java.base@21-ea)
 346:             4            128  java.lang.module.ModuleDescriptor$Modifier (java.base@21-ea)
 347:             4            128  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@21-ea)
 348:             4            128  java.rmi.server.UID (java.rmi@21-ea)
 349:             8            128  java.util.LinkedHashSet (java.base@21-ea)
 350:             4            128  jdk.internal.logger.BootstrapLogger$LoggingBackend (java.base@21-ea)
 351:             4            128  jdk.jfr.internal.jfc.JFC$KnownConfiguration (jdk.jfr@21-ea)
 352:             1            128  sun.nio.fs.UnixFileAttributes (java.base@21-ea)
 353:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@21-ea)
 354:             5            120  [Ljava.security.ProtectionDomain; (java.base@21-ea)
 355:             1            120  [[Ljava.lang.String; (java.base@21-ea)
 356:             3            120  java.lang.invoke.DirectMethodHandle$Interface (java.base@21-ea)
 357:             1            120  java.lang.ref.Finalizer$FinalizerThread (java.base@21-ea)
 358:             1            120  java.lang.ref.Reference$ReferenceHandler (java.base@21-ea)
 359:             3            120  java.lang.reflect.ProxyGenerator$ProxyMethod (java.base@21-ea)
 360:             5            120  java.time.format.SignStyle (java.base@21-ea)
 361:             5            120  java.util.BitSet (java.base@21-ea)
 362:             1            120  java.util.logging.LogManager$Cleaner (java.logging@21-ea)
 363:             5            120  java.util.regex.Pattern$$Lambda/0x00007fbea804a948 (java.base@21-ea)
 364:             5            120  java.util.regex.Pattern$Ques (java.base@21-ea)
 365:             5            120  java.util.stream.StreamOpFlag$Type (java.base@21-ea)
 366:             5            120  jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer (java.base@21-ea)
 367:             1            120  jdk.internal.misc.InnocuousThread (java.base@21-ea)
 368:             5            120  jdk.internal.platform.cgroupv1.CgroupV1SubsystemController (java.base@21-ea)
 369:             5            120  picocli.CommandLine$ParseResult$GroupValidationResult$Type
 370:             3            120  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@21-ea)
 371:             1            112  [Ljava.lang.reflect.AccessFlag; (java.base@21-ea)
 372:             1            112  [Ljava.time.LocalTime; (java.base@21-ea)
 373:             1            112  [Lpicocli.CommandLine$Help$Ansi$Style;
 374:             2            112  java.net.SocketPermission (java.base@21-ea)
 375:             2            112  java.nio.DirectIntBufferRU (java.base@21-ea)
